web_scraper_order,web_scraper_start_url,autres_animaux,nom,prix,adresse,image
"1771238020-50","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Cailles et œufs de caille","3 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/cailles-3371486"
"1771238020-51","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Cailles et œufs de caille","3 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/caille-3360468"
"1771238020-52","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Cailles et œufs de caille","3 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/caille-3319937"
"1771238020-53","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Cailles et œufs de caille","3 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/cailles-1376905"
"1771238020-54","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708","Cailles et œufs de caille","3 000 CFA","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/caille-931708"
"1771238023-55","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-bourbonaises-990474","Oies  bourbonaises","50 000 CFA","Thies, Sénégal","https://sn.coinafrique.com/profil/dd4025af-3af0-4ff3-8906-4b70faed065e"
"1771238023-56","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-bourbonaises-990474","Oies  bourbonaises","50 000 CFA","Thies, Sénégal","https://sn.coinafrique.com/profil/dd4025af-3af0-4ff3-8906-4b70faed065e"
"1771238023-57","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/oies-bourbonaises-990474","Oies  bourbonaises","50 000 CFA","Thies, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/oies-bourbonaises-990474"
"1771238025-58","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/mouton-ladoum-pure-sang-1011139","Mouton ladoum pure sang","Prix sur demande","Sénégal","https://sn.coinafrique.com/profil/bb7d62ff-1f58-4729-a361-1e63340401ee"
"1771238025-59","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/mouton-ladoum-pure-sang-1011139","Mouton ladoum pure sang","Prix sur demande","Sénégal","https://sn.coinafrique.com/profil/bb7d62ff-1f58-4729-a361-1e63340401ee"
"1771238025-60","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/mouton-ladoum-pure-sang-1011139","Mouton ladoum pure sang","Prix sur demande","Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/mouton-ladoum-pure-sang-1011139"
"1771238028-61","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/profil/66e0ffbf-10b3-48d0-aa2f-616d9631efcf"
"1771238028-62","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/profil/66e0ffbf-10b3-48d0-aa2f-616d9631efcf"
"1771238028-63","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419"
"1771238028-64","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5480837"
"1771238028-65","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5480832"
"1771238028-66","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5231174"
"1771238028-67","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5205943"
"1771238028-68","https://sn.coinafrique.com/categorie/autres-animaux?page=6","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-1129419","Boeuf","Prix sur demande","Dakar, Sénégal","https://sn.coinafrique.com/annonce/autres-animaux/boeuf-5179428"
